Ticker,Return,Standard Deviation,Risk-Free Rate,Beta (S&P),Sharpe Ratio
PBW,96.9794240829504,49.04632144564508,0.17,0.8461786311558122,1.9738365942538247
PBD,76.22515398762076,39.11894636990235,0.17,0.9001706621057818,1.9442025168176993
QQQ,56.34688746989631,33.018871485196385,0.17,0.949814444761704,1.7013569799041297
IEI,6.1429762878044984,3.7362525073965522,0.17,-0.5003134025479875,1.5986543404065887
IAU,28.351566347469227,18.293962032508343,0.17,0.10445558484872826,1.5404845761344985
GLD,28.143213576991876,18.428941913913963,0.17,0.10743530713054565,1.517895802573013
VUG,43.845829240184564,33.227998098130826,0.17,0.9779540047970562,1.3144285464083212
ASHS,40.957542596664965,31.728889776026257,0.17,0.6178644585480114,1.2855017268042972
IWF,42.510095523829776,32.99599008356671,0.17,0.9796404977102491,1.283189121362865
SLV,50.08787932044524,40.10032422453064,0.17,0.27034560978209315,1.244824830865305
IVW,36.430845257183655,32.722271253217464,0.17,0.9852663638085508,1.1081396207672551
BBC,47.38728392831269,43.780181451049344,0.17,0.6923574736976066,1.0785081825461682
IUSG,34.907209056102246,32.56311084899496,0.17,0.986680175522714,1.0667656790283102
ASHR,32.42595793391042,31.059241093879532,0.17,0.683477005965235,1.0385301378231906
IEF,8.033572166491235,7.621214505571008,0.17,-0.5084004850145043,1.031800398839721
GOVT,6.48418947755771,6.544639435079412,0.17,-0.5281840199347896,0.964787982621856
GLCN,20.971954627592115,23.23792463750005,0.17,0.18611830445658017,0.8951726521232922
OEF,28.72970988146553,32.53153068245685,0.17,0.9928236759841762,0.8779085792254717
TIP,7.881584815714564,9.01571839457847,0.17,-0.07634582807662346,0.8553489004660865
XBI,32.93151557177364,38.57631416650024,0.17,0.7888061713793191,0.8492650549860933
XRT,32.78301180305266,39.22608032114248,0.17,0.8632197893734983,0.8314114368820724
AAXJ,23.632203149696736,30.305936997249596,0.17,0.8454097690554295,0.7741784440397285
BOND,5.655133884874966,7.831359351637691,0.17,0.25639994661931026,0.7004063584092738
VV,23.30447512922704,33.09824615336054,0.17,0.9980724157731771,0.6989637765709269
AGG,6.053723044170094,8.488002676905362,0.17,0.12920098501508262,0.6931811013890065
SPIB,6.716329273610766,9.465915092140976,0.17,0.33188545831163074,0.6915685604496727
VOT,23.239173796981706,33.8930689583753,0.17,0.9723976633940128,0.6806457634542737
SCHX,22.67997570927694,33.167332725697435,0.17,0.9983591489555674,0.6786791055958692
SPY,21.74150175417468,32.12380076477845,0.17,0.9999999840446869,0.6715115036395803
VCIT,7.658383998239423,11.270860584225439,0.17,0.2971755909723348,0.6644021494436793
IWB,22.116557703404848,33.09726421338024,0.17,0.9985170395878364,0.6630928031366563
IWP,22.392803518534677,34.00867618844757,0.17,0.9684198173784149,0.653445120750791
VOO,21.76806720829411,33.17734437650602,0.17,0.9988087258947187,0.6509884264151177
